gene	symbol
IRF8	B
LTB	B
LY86	B
MBL2	B
MS4A1	B
NMBR	B
B	cells
P2RX5	B
PNOC	B
PTPRCAP	B
RALGPS2	B
RASGRP2	B
SIK1	B
SIT1	B
SLC12A1	B
SP140	B
STAP1	B
TMEM156	B
TNFRSF13B	B
TNFRSF17	B
TRAF4	B
VPREB3	B
ZBTB32	B
CD19	B
CD2	B
CD72	B
IL2RA	B
MME	B
ABCB4	B
ADAM28	B
BACH2	B
BANK1	B
BCL7A	B
BEND5	B
BLK	B
BRAF	B
CD180	B
B	cells
CD22	B
CD37	B
CD69	B
CD79A	B
CD79B	B
CR2	B
CXCR5	B
EAF2	B
B	cells
FCGR2B	B
B	cells
FRK	B
B	cells
B	cells
HHEX	B
B	cells
IGHD	B
IGHM	B
IGKC	B
B	cells
B	cells
IRF8	B
LTB	B
LY86	B
MEP1A	B
MICAL3	B
MS4A1	B
NMBR	B
P2RX5	B
P2RY14	B
PNOC	B
B	cells
PTPRCAP	B
RALGPS2	B
RASGRP2	B
SELL	B
SIK1	B
SLC12A1	B
SPIB	B
STAP1	B
B	cells
UGT1A8	B
VPREB3	B
B	cells
TNFSF8	B
FOXP1	B
MITF	B
CD52	B
B	cells
TNFRSF13C	B
B	cells
STAG3	B
BIRC3	B
CD74	B
KRT5	Basal
KRT17	Basal
BCL2	Basal
KRT14	Basal
Basal	cells
CDH3	Basal
KRT6B	Basal
METTL5	Basal
ANXA11	Basal
TMEM14A	Basal
BNIP3	Basal
TYMP	Basal
DPP7	Basal
OPTN	Basal
PLAU	Basal
CAPN1	Basal
BACE2	Basal
CTNNB1	Basal
ILK	Basal
PKP3	Basal
ITGA3	Basal
Basal	cells
SRSF4	Basal
RAB38	Basal
ALKBH7	Basal
DNPH1	Basal
KRT23	Basal
SLC16A3	Basal
GYPC	Basal
DUSP23	Basal
RARRES1	Basal
ITGA2	Basal
SLC25A37	Basal
Basal	cells
ITGB6	Basal
ITGB4	Basal
SPHK1	Basal
ACTG2	Basal
IRF6	Basal
RAB13	Basal
LAMB3	Basal
ACADVL	Basal
MMP7	Basal
HEBP2	Basal
FBXO32	Basal
Basal	cells
Basal	cells
SERINC2	Basal
NNMT	Basal
KRT15	Basal
PLP2	Basal
Basal	cells
S100A14	Basal
LAMC2	Basal
BMP7	Basal
MYLK	Basal
CD69	Basophils
IL3RA	Basophils
CCR3	Basophils
ENPP3	Basophils
FCER1A	Basophils
TLR4	Basophils
LTC4S	Basophils
CPA3	Basophils
ITGAL	Basophils
ITGAM	Basophils
ITGAX	Basophils
Basophils	CD124
ITGB7	Basophils
IL4	Basophils
Basophils	NA
Basophils	NA
MS4A2	Basophils
MS4A3	Basophils
HDC	Basophils
GATA2	Basophils
CCL3	Basophils
CD33	Basophils
CD44	Basophils
CDH1	Basophils
HTR1B	Basophils
IGFBP7	Basophils
Basophils	NA
DNASE2B	Basophils
FADS2	Basophils
GPC4	Basophils
GRM6	Basophils
ACSS2	Basophils
ADORA2B	Basophils
Basophils	NA
AQP9	Basophils
BACE1	Basophils
BMP4	Basophils
CABLES1	Basophils
CCL4	Basophils
Basophils	NA
CEBPA	Basophils
Basophils	NA
E2F8	Basophils
FADS1	Basophils
FAR2	Basophils
FBXO9	Basophils
GABBR1	Basophils
Basophils	NA
GPR183	Basophils
Basophils	NA
HGF	Basophils
HIST1H1D	Basophils
HIST1H2AC	Basophils
IFITM1	Basophils
INF2	Basophils
JAZF1	Basophils
L1CAM	Basophils
LAMA5	Basophils
MBOAT1	Basophils
NFIL3	Basophils
NPL	Basophils
Basophils	NA
OSBPL5	Basophils
OTUB2	Basophils
P2RY1	Basophils
PDK3	Basophils
PDZD4	Basophils
PERP	Basophils
Basophils	MGC14156
PLEKHG5	Basophils
PLG	Basophils
RNF39	Basophils
SLC26A3	Basophils
SLC26A8	Basophils
SNCAIP	Basophils
ST6GALNAC5	Basophils
Basophils	SPT3|SPT3L
TULP3	Basophils
TEC	Basophils
UNC93A	Basophils
WRN	Basophils
ID1	Basophils
GFAP	Bergmann
GDF10	Bergmann
GJB6	Bergmann
GRIA4	Bergmann
GRM3	Bergmann
NTSR2	Bergmann
ITIH3	Bergmann
A2M	Bergmann
PTCH1	Bergmann
CDC42EP4	Bergmann
BTBD17	Bergmann
AQP4	Bergmann
SLC4A4	Bergmann
HOPX	Bergmann
GPR37L1	Bergmann
ACSBG1	Bergmann
ALDH1L1	Bergmann
SLC1A3	Bergmann
SLC1A2	Bergmann
S100B	Bergmann
VIM	Bergmann
FABP7	Bergmann
TTC21B	Bergmann
HEPACAM	Bergmann
ZEB2	Bergmann
UFL1	Bergmann
NRXN3	Bergmann
ATP7A	Bergmann
BICD2	Bergmann
GJA1	Bergmann
METRN	Bergmann
P2RX7	Bergmann
EGFR	Bergmann
GRIA1	Bergmann
P2RY1	Bergmann
GRIN2B	Bergmann
GRIN3A	Bergmann
SEPT4	Bergmann
DAO	Bergmann
ITGB1	Bergmann
KIF1BP	Bergmann
GCGR	Beta
JPH3	Beta
CD40	Beta
HAMP	Beta
EZH1	Beta
NTRK1	Beta
PDX1	Beta
SLC2A2	Beta
NKX6-2	Beta
Beta	cells
Beta	cells
FXYD2	Beta
NPY	Beta
Beta	cells
RIMS1	Beta
MAFA	Beta
EFNA5	Beta
LMX1A	Beta
NKX2-2	Beta
NKX6-1	Beta
PAX4	Beta
IAPP	Beta
PCSK2	Beta
G6PC2	Beta
SLC30A8	Beta
Beta	cells
PCSK1	Beta
GJD2	Beta
SCGN	Beta
IGF2	Beta
SYT13	Beta
FFAR2	Beta
NPTX2	Beta
PFKFB2	Beta
EDARADD	Beta
HOPX	Beta
SH3GL2	Beta
ADCYAP1	Beta
Beta	cells
CASR	Beta
MAFB	Beta
PAX6	Beta
NEUROD1	Beta
ISL1	Beta
TGFBR3	Beta
SMAD9	Beta
SIX3	Beta
SIX2	Beta
BMP5	Beta
PIR	Beta
STXBP5	Beta
DLK1	Beta
MEG3	Beta
RGS16	Beta
RELN	Cajal-Retzius
DIABLO	Cajal-Retzius
ST3GAL5	Cajal-Retzius
ISOC1	Cajal-Retzius
SMOC2	Cajal-Retzius
DYNC1I1	Cajal-Retzius
NHLH2	Cajal-Retzius
CLSTN2	Cajal-Retzius
TMEM163	Cajal-Retzius
CACNA2D2	Cajal-Retzius
CIB2	Cajal-Retzius
Cajal-Retzius	cells
NDNF	Cajal-Retzius
LINGO1	Cajal-Retzius
LNPK	Cajal-Retzius
RNF138	Cajal-Retzius
TMEM170B	Cajal-Retzius
ABCC5	Cajal-Retzius
CNRIP1	Cajal-Retzius
EBF3	Cajal-Retzius
FUT9	Cajal-Retzius
PABPN1	Cajal-Retzius
GNL3L	Cajal-Retzius
NUDT2	Cajal-Retzius
SLC25A46	Cajal-Retzius
NSMCE3	Cajal-Retzius
DACH1	Cajal-Retzius
FAM69B	Cajal-Retzius
HOMER2	Cajal-Retzius
MAP9	Cajal-Retzius
DNM3	Cajal-Retzius
LZTFL1	Cajal-Retzius
FSD1	Cajal-Retzius
TCEAL1	Cajal-Retzius
RAB11FIP2	Cajal-Retzius
BARHL2	Cajal-Retzius
TRIM44	Cajal-Retzius
SLC17A6	Cajal-Retzius
B3GALT1	Cajal-Retzius
SLITRK5	Cajal-Retzius
ERC2	Cajal-Retzius
NBEA	Cajal-Retzius
SLC25A36	Cajal-Retzius
ZDBF2	Cajal-Retzius
MAPK8	Cajal-Retzius
GDF5	Cajal-Retzius
ACHE	Cajal-Retzius
CCM2	Cajal-Retzius
WRAP73	Cajal-Retzius
Cajal-Retzius	cells
NRG1	Cajal-Retzius
ATP13A2	Cajal-Retzius
CNTNAP2	Cajal-Retzius
PNOC	Cajal-Retzius
LHX1	Cajal-Retzius
LINGO2	Cajal-Retzius
FAT3	Cajal-Retzius
SRGAP3	Cajal-Retzius
CDH4	Cajal-Retzius
FLRT3	Cajal-Retzius
EDIL3	Cajal-Retzius
Cajal-Retzius	cells
ZCCHC12	Cajal-Retzius
RALGPS2	Cajal-Retzius
FAM196A	Cajal-Retzius
SMAD1	Cajal-Retzius
TBR1	Cajal-Retzius
KCNH7	Cajal-Retzius
LHX5	Cajal-Retzius
CALB2	Cajal-Retzius
EMX2	Cajal-Retzius
ZIC2	Cajal-Retzius
WNT7B	Cajal-Retzius
AATF	Cajal-Retzius
NANOS1	Cajal-Retzius
TBCK	Cajal-Retzius
RGMB	Cajal-Retzius
DACT1	Cajal-Retzius
Cajal-Retzius	cells
EOMES	Cajal-Retzius
CNR1	Cajal-Retzius
Cajal-Retzius	cells
MYH6	Cardiac
WT1	Cardiac
TBX18	Cardiac
FUT4	Cardiac
Cardiac	stem
NKX2-5	Cardiac
ISL1	Cardiac
GATA4	Cardiac
ETV2	Cardiac
KIT	Cardiac
ABCG2	Cardiac
MESP1	Cardiac
BMP4	Cardiac
ADGRL2	Cardiac
TBX3	Cardiac
TBX4	Cardiac
WNT5A	Cardiac
ANKRD1	Cardiac
TNNC1	Cardiomyocytes
ADM	Cardiomyocytes
ALCAM	Cardiomyocytes
NPPA	Cardiomyocytes
FGF2	Cardiomyocytes
NPPB	Cardiomyocytes
TNNI3	Cardiomyocytes
TNNT2	Cardiomyocytes
ANKRD1	Cardiomyocytes
NPPC	Cardiomyocytes
DES	Cardiomyocytes
HAND2	Cardiomyocytes
HAND1	Cardiomyocytes
GATA4	Cardiomyocytes
GATA6	Cardiomyocytes
MYL2	Cardiomyocytes
NKX2-5	Cardiomyocytes
PNMT	Cardiomyocytes
ACTA1	Cardiomyocytes
CD36	Cardiomyocytes
RBM20	Cardiomyocytes
VLDLR	Cardiomyocytes
ALPK3	Cardiomyocytes
RBM24	Cardiomyocytes
FABP4	Cardiomyocytes
CKMT2	Cardiomyocytes
SPEG	Cardiomyocytes
MYH7B	Cardiomyocytes
MYOM2	Cardiomyocytes
MYOM1	Cardiomyocytes
Cardiomyocytes	NA
PDLIM5	Cardiomyocytes
MYH7	Cardiomyocytes
PLN	Cardiomyocytes
TCAP	Cardiomyocytes
SORBS2	Cardiomyocytes
RYR2	Cardiomyocytes
OBSCN	Cardiomyocytes
ACTC1	Cardiomyocytes
MYL3	Cardiomyocytes
CORO6	Cardiomyocytes
PDE4D	Cardiomyocytes
NEXN	Cardiomyocytes
Cardiomyocytes	Myheart
FHL2	Cardiomyocytes
MYBPC3	Cardiomyocytes
MYH6	Cardiomyocytes
TTN	Cardiomyocytes
GPIHBP1	Cardiomyocytes
AQP1	Cardiomyocytes
DMD	Cardiomyocytes
MFN2	Cardiomyocytes
ASB2	Cardiomyocytes
ART3	Cardiomyocytes
RRAD	Cardiomyocytes
ADPRHL1	Cardiomyocytes
JPH2	Cardiomyocytes
PYGM	Cardiomyocytes
HSPB7	Cardiomyocytes
MYOZ2	Cardiomyocytes
ENO3	Cardiomyocytes
TRDN	Cardiomyocytes
ACTN2	Cardiomyocytes
TNNI1	Cardiomyocytes
SMPX	Cardiomyocytes
MYL7	Cardiomyocytes
TBX20	Cardiomyocytes
TRIM63	Cardiomyocytes
MB	Cardiomyocytes
CTGF	Cardiomyocytes
MYL4	Cardiomyocytes
LOX	Cardiomyocytes
CTNNB1	Cardiomyocytes
CPT1A	Cardiomyocytes
SOX18	Cardiomyocytes
NOTCH1	Cardiomyocytes
SLN	Cardiomyocytes
CSRP3	Cardiomyocytes
TXLNB	Cardiomyocytes
ATP2A2	Cardiomyocytes
CKM	Cardiomyocytes
CKB	Cardiomyocytes
CXCR4	Cardiomyocytes
Cardiomyocytes	NA
MITF	Cardiomyocytes
ZFPM2	Cardiomyocytes
BDNF	Cardiomyocytes
GJA5	Cardiomyocytes
FMOD	Cardiomyocytes
MTTP	Cardiomyocytes
SLC5A1	Cardiomyocytes
ADIPOQ	Cardiomyocytes
TRPV1	Cardiomyocytes
HAMP	Cardiomyocytes
SGPL1	Cardiomyocytes
HMGB2	Cardiomyocytes
STC1	Cardiomyocytes
FGF23	Cardiomyocytes
STRN	Cardiomyocytes
HEY2	Cardiomyocytes
ADIPOR1	Cardiomyocytes
ADIPOR2	Cardiomyocytes
PDE1A	Cardiomyocytes
BMP4	Cardiomyocytes
CASQ2	Cardiomyocytes
TPM1	Cardiomyocytes
SSTR2	Cholangiocytes
SLC4A2	Cholangiocytes
SCTR	Cholangiocytes
KRT7	Cholangiocytes
KCNN2	Cholangiocytes
ITGB4	Cholangiocytes
GGT6	Cholangiocytes
CFTR	Cholangiocytes
CCKBR	Cholangiocytes
AQP4	Cholangiocytes
AQP1	Cholangiocytes
PIGR	Cholangiocytes
GGT1	Cholangiocytes
JAG1	Cholangiocytes
GPBAR1	Cholangiocytes
GGT7	Cholangiocytes
KRT19	Cholangiocytes
ONECUT2	Cholangiocytes
ALPL	Cholangiocytes
HNF1B	Cholangiocytes
ALB	Cholangiocytes
AGR2	Cholangiocytes
Cholangiocytes	NA
TFF3	Cholangiocytes
TFF1	Cholangiocytes
SOX9	Cholangiocytes
EPCAM	Cholangiocytes
CLDN4	Cholangiocytes
MMP7	Cholangiocytes
TFF2	Cholangiocytes
SCGB3A1	Cholangiocytes
FXYD2	Cholangiocytes
DEFB1	Cholangiocytes
Cholangiocytes	CD24A
LCN2	Cholangiocytes
CXCL1	Cholangiocytes
Cholangiocytes	GCP-2|CKA-3|SCYB6
LGALS2	Cholangiocytes
TACSTD2	Cholangiocytes
ELF3	Cholangiocytes
SPP1	Cholangiocytes
MUC5B	Cholangiocytes
LGALS4	Cholangiocytes
CHAT	Cholinergic
SLC18A3	Cholinergic
ACHE	Cholinergic
SLC5A7	Cholinergic
TAC1	Cholinergic
BRCA1	Cholinergic
ACLY	Cholinergic
PRG4	Chondrocytes
TNC	Chondrocytes
CRTAC1	Chondrocytes
CREB3L2	Chondrocytes
RUNX2	Chondrocytes
ACAN	Chondrocytes
COL2A1	Chondrocytes
COMP	Chondrocytes
MATN3	Chondrocytes
RUNX3	Chondrocytes
SOX6	Chondrocytes
BMP2	Chondrocytes
CTNNB1	Chondrocytes
FGF18	Chondrocytes
GLI3	Chondrocytes
PBX3	Chondrocytes
PTHLH	Chondrocytes
SMO	Chondrocytes
STAT1	Chondrocytes
MMP13	Chondrocytes
VEGFA	Chondrocytes
MATN1	Chondrocytes
COL9A1	Chondrocytes
COL10A1	Chondrocytes
IGF2	Chondrocytes
MIA	Chondrocytes
SDC3	Chondrocytes
EMP1	Chondrocytes
COL6A1	Chondrocytes
CYTL1	Chondrocytes
LCN2	Chondrocytes
Chondrocytes	NA
LUM	Chondrocytes
GADD45B	Chondrocytes
SCRG1	Chondrocytes
HAPLN1	Chondrocytes
COL11A1	Chondrocytes
S100A9	Chondrocytes
CHAD	Chondrocytes
COL9A3	Chondrocytes
DLK1	Chondrocytes
S100A8	Chondrocytes
CHODL	Chondrocytes
ATF4	Chondrocytes
Chondrocytes	PHOG|GCFX|SHOXY
MGP	Chondrocytes
TCF4	Chondrocytes
VDR	Chondrocytes
ATRX	Chondrocytes
NOG	Chondrocytes
AGER	Chondrocytes
IL10RA	Chondrocytes
TTR	Choroid
KL	Choroid
SOSTDC1	Choroid
CLIC6	Choroid
SLC4A10	Choroid
HTR2C	Choroid
AQP1	Choroid
SLC16A2	Choroid
SLC4A2	Choroid
SLC4A5	Choroid
SLC31A1	Choroid
Choroid	plexus
CLDN2	Choroid
SLC13A4	Choroid
SLC29A4	Choroid
PRLR	Choroid
CLDN1	Choroid
SLC2A12	Choroid
WFIKKN2	Choroid
SLC23A2	Choroid
SLC26A11	Choroid
CHMP1A	Choroid
SLC26A4	Chromaffin
AGRP	Chromaffin
IGF2	Chromaffin
SNAP25	Chromaffin
SLC18A2	Chromaffin
SNAPIN	Chromaffin
PNMT	Chromaffin
RAPGEF2	Chromaffin
SERPINE1	Chromaffin
GJD2	Chromaffin
CACNA1D	Chromaffin
PIK3C2A	Chromaffin
NCS1	Chromaffin
PLD1	Chromaffin
PLD2	Chromaffin
DOC2B	Chromaffin
UNC13A	Chromaffin
SLC18A1	Chromaffin
STX1A	Chromaffin
